fold,marginBand,entropyBand,feature_availability,top1_agreement,races,residualOnlyCorrect,treeOnlyCorrect,residualLogLossImprovementRate,meanResidualLogLossDelta
3,"(0.506, 0.813]","(0.305, 0.642]",1.0,1.0,1608,0,0,0.417910447761194,0.019211285656984427
3,"(0.506, 0.813]","(0.642, 0.723]",1.0,1.0,323,0,0,0.4582043343653251,0.018495970518355463
4,"(-0.0009509, 0.244]","(0.305, 0.642]",1.0,0.0,1,1,0,0.0,0.01137670233627619
4,"(-0.0009509, 0.244]","(0.305, 0.642]",1.0,1.0,7,0,0,0.7142857142857143,-0.07576812136213047
4,"(-0.0009509, 0.244]","(0.642, 0.723]",1.0,0.0,6,1,1,0.5,0.03925243126826213
4,"(-0.0009509, 0.244]","(0.642, 0.723]",1.0,1.0,79,0,0,0.4810126582278481,0.016220125445827908
4,"(-0.0009509, 0.244]","(0.723, 0.802]",0.9444444444444445,0.0,1,0,0,0.0,0.2295369053926244
4,"(-0.0009509, 0.244]","(0.723, 0.802]",0.9444444444444445,1.0,4,0,0,0.75,-0.04486081980985607
4,"(-0.0009509, 0.244]","(0.723, 0.802]",1.0,0.0,34,14,7,0.7647058823529411,-0.07912997833811193
4,"(-0.0009509, 0.244]","(0.723, 0.802]",1.0,1.0,481,0,0,0.4968814968814969,0.013529526237188375
4,"(-0.0009509, 0.244]","(0.802, 0.986]",0.9444444444444445,0.0,2,1,0,0.5,-0.06066648611585379
4,"(-0.0009509, 0.244]","(0.802, 0.986]",0.9444444444444445,1.0,4,0,0,0.25,0.04413532548984664
4,"(-0.0009509, 0.244]","(0.802, 0.986]",1.0,0.0,106,26,22,0.5,0.007575071027413183
4,"(-0.0009509, 0.244]","(0.802, 0.986]",1.0,1.0,1090,0,0,0.4917431192660551,0.018117491451147237
4,"(0.244, 0.376]","(0.305, 0.642]",1.0,1.0,25,0,0,0.56,0.04489464395397102
4,"(0.244, 0.376]","(0.642, 0.723]",0.9444444444444445,1.0,2,0,0,0.0,0.096878537868611
4,"(0.244, 0.376]","(0.642, 0.723]",1.0,1.0,364,0,0,0.5851648351648352,-0.009102919313767536
4,"(0.244, 0.376]","(0.723, 0.802]",0.9444444444444445,1.0,2,0,0,0.0,0.41600252401840776
4,"(0.244, 0.376]","(0.723, 0.802]",1.0,1.0,1030,0,0,0.5320388349514563,0.008836772276037087
4,"(0.244, 0.376]","(0.802, 0.986]",0.9444444444444445,1.0,1,0,0,0.0,0.17046675871910533
