modelName,dimension,segment,raceCount,logLossDelta,brierDelta,top1Delta,eceDelta
ranking_leaf31,venue,23,1418,0.31136969613067955,0.1295892674298299,-0.004231311706629048,0.2519408283838487
ranking_leaf31,venue,24,1694,0.4046706746110704,0.1902123915472227,-0.00649350649350644,0.3173535663225118
ranking_leaf31,venue,3,1481,0.24309342641726284,0.08849547346350495,-0.004726536124240344,0.19369387866731358
ranking_leaf31,venue,4,1252,0.2548900670473859,0.09975446807284849,-0.015974440894568676,0.18882202887417235
ranking_leaf31,venue,5,1684,0.281315297705486,0.12276404474787028,-0.0071258907363419555,0.25632127443049557
ranking_leaf31,venue,6,1806,0.3063388661288866,0.13323751133016004,-0.007198228128460715,0.24486243699775165
ranking_leaf31,venue,7,1680,0.3272458815620083,0.14220626735839692,-0.0017857142857142794,0.28404661252274416
ranking_leaf31,venue,8,1766,0.30940717906189485,0.13546891037985742,-0.003963759909399789,0.2548068238108278
ranking_leaf31,venue,9,1594,0.30869421415921305,0.13804284108006126,-0.008155583437892022,0.2600677534920737
ranking_leaf31,month,2025-08,275,0.30501478929370984,0.12896605905265834,-0.0072727272727272085,0.1886029573916376
ranking_leaf31,month,2025-09,3625,0.2762466157106578,0.11588525899446,-0.007172413793103405,0.24835150952792262
ranking_leaf31,month,2025-10,3538,0.2825733068058687,0.1201953889197126,-0.0025438100621819615,0.25869142312689564
ranking_leaf31,month,2025-11,3340,0.3139095551250102,0.13852984747754649,-0.002095808383233533,0.26612136573587053
ranking_leaf31,month,2025-12,4008,0.3091178731229094,0.13281223815524612,-0.0037425149700599514,0.2694228353742767
ranking_leaf31,month,2026-01,4356,0.30564848759722874,0.13340329336504242,-0.005968778696051391,0.26517423630130454
ranking_leaf31,month,2026-02,3545,0.3029753202189809,0.13042677345592746,-0.001692524682651575,0.26001334615017935
ranking_leaf31,month,2026-03,3811,0.3085732763890814,0.13282190138103778,-0.006559958016268741,0.26405359901621395
ranking_leaf31,month,2026-04,1824,0.30848957300357593,0.1335774895248697,-0.005482456140350811,0.2608150535545847
ranking_leaf31,month,2026-05,3677,0.3113894976334717,0.13276354228298326,-0.005711177590426941,0.26244027752802834
ranking_leaf31,month,2026-06,3827,0.31646375293482043,0.1350880492374752,-0.007055134570159494,0.26706970366716587
ranking_leaf31,month,2026-07,2184,0.31026472550068585,0.13586719425210014,-0.007783882783882756,0.26943383240145363
ranking_leaf31,topPickLane,1,38010,0.3038735581026226,0.1307810282478924,-0.005024993422783397,0.2668115935054689
ranking_leaf31,featureCoverage,3,38010,0.3038735581026226,0.1307810282478924,-0.005024993422783397,0.2668115935054689
residual_c01_a05,venue,1,1641,0.06656355075655562,0.02585775188642625,-0.008531383302864182,0.04107247886016653
residual_c01_a05,venue,10,1498,0.029844454162561318,0.01057329635207438,0.002670226969292422,0.039456129258301345
residual_c01_a05,venue,11,1594,0.04107426943671055,0.015311563518652371,-0.005018820577164296,0.019909576707931746
residual_c01_a05,venue,12,1698,0.035044760899598515,0.012557647513316006,-0.0011778563015312216,0.022564039706032893
residual_c01_a05,venue,13,1349,0.04148246278741308,0.0134210153982659,-0.001482579688658281,0.03129491269268182
residual_c01_a05,venue,14,1459,0.04841011137139728,0.020627871695572897,-0.00959561343385884,0.05531171448479246
residual_c01_a05,venue,15,1657,0.04891437629937667,0.01709189904970687,-0.0018105009052504784,-0.0025678841314555056
residual_c01_a05,venue,16,1353,0.0319105563990818,0.01165127827128798,0.0,0.024901205994490222
residual_c01_a05,venue,17,1637,0.019214012024666438,0.007043447466417385,-0.0036652412950518576,0.023824117902439615
residual_c01_a05,venue,18,1776,0.030692937166666212,0.007487662288301666,-0.0028153153153153143,0.046613792992437224
residual_c01_a05,venue,19,1616,0.0345476765952919,0.009062953996987644,-0.0006188118811880639,0.038401744445836924
residual_c01_a05,venue,2,1471,0.06891646009068686,0.0349330089987171,-0.02311352821210061,0.11259567321478296
residual_c01_a05,venue,20,1547,0.03253979975245369,0.009527718988009748,-0.0019392372333548735,0.02063126989156487
residual_c01_a05,venue,21,1681,0.022390572566356237,0.005480951805838963,-0.0017846519928613747,0.02581188365963784
residual_c01_a05,venue,22,1658,0.05205408776251552,0.020385039664676086,-0.004825090470446214,0.0055963869068185595
residual_c01_a05,venue,23,1418,0.04581920660575567,0.015207767019405516,-0.004231311706629048,0.02481525326158548
residual_c01_a05,venue,24,1694,0.05417560969444901,0.02227041399199703,-0.00649350649350644,0.047188712697860256
residual_c01_a05,venue,3,1481,0.040498977801957325,0.017161955498363524,-0.004726536124240344,0.04933006304006034
residual_c01_a05,venue,4,1252,0.05537649735710559,0.02718074650512814,-0.015974440894568676,0.07532085884495704
residual_c01_a05,venue,5,1684,0.034129397530890726,0.011557653021780578,-0.0071258907363419555,0.01398596706964374
residual_c01_a05,venue,6,1806,0.04737500298038566,0.016696471902194365,-0.007198228128460715,0.018481029157197862
