dimension,segment,races,top1Accuracy,winnerInTop2,winnerInTop3,top2OracleGain,top3AdditionalGain
jcd,14,1459,0.48046607265250174,0.6908841672378341,0.8286497601096642,0.21041809458533242,0.13776559287183002
jcd,15,1657,0.5582377791188896,0.7483403741701871,0.8557634278817139,0.19010259505129753,0.10742305371152686
jcd,16,1353,0.5521064301552107,0.7272727272727273,0.8462675535846268,0.17516629711751663,0.11899482631189948
jcd,17,1637,0.5571166768478925,0.725717776420281,0.8478924862553452,0.1686010995723885,0.12217470983506414
jcd,18,1776,0.6013513513513513,0.7916666666666666,0.8800675675675675,0.19031531531531531,0.0884009009009009
jcd,19,1616,0.6188118811881188,0.7766089108910891,0.8762376237623762,0.1577970297029703,0.09962871287128713
jcd,2,1471,0.45887151597552683,0.672331747110809,0.8266485384092455,0.21346023113528212,0.15431679129843645
jcd,20,1547,0.6024563671622495,0.7744020685197156,0.8778280542986425,0.17194570135746606,0.10342598577892695
jcd,21,1681,0.6032123735871505,0.7638310529446758,0.8643664485425342,0.16061867935752527,0.10053539559785842
jcd,22,1658,0.5675512665862484,0.7768395657418576,0.8866103739445115,0.20928829915560918,0.1097708082026538
jcd,23,1418,0.5479548660084627,0.7404795486600846,0.8681241184767278,0.192524682651622,0.12764456981664316
jcd,24,1694,0.6446280991735537,0.795159386068477,0.8896103896103896,0.15053128689492326,0.09445100354191263
jcd,3,1481,0.4814314652261985,0.6954760297096556,0.8311951384199865,0.21404456448345713,0.13571910871033085
jcd,4,1252,0.4952076677316294,0.6876996805111821,0.8498402555910544,0.19249201277955272,0.1621405750798722
jcd,5,1684,0.5558194774346793,0.7173396674584323,0.8450118764845606,0.16152019002375298,0.12767220902612827
jcd,6,1806,0.5564784053156147,0.751937984496124,0.8599114064230343,0.1954595791805094,0.1079734219269103
jcd,7,1680,0.5803571428571429,0.7577380952380952,0.8595238095238096,0.1773809523809524,0.10178571428571428
jcd,8,1766,0.5583238958097395,0.7383918459796149,0.8590033975084937,0.18006795016987542,0.12061155152887883
jcd,9,1594,0.56900878293601,0.7434127979924717,0.8575909661229612,0.17440401505646172,0.11417816813048934
race_no,2,3467,0.4802422843957312,0.6991635419671185,0.8350158638592443,0.21892125757138736,0.13585232189212576
race_no,3,3498,0.483704974271012,0.6881074899942824,0.8207547169811321,0.20440251572327045,0.13264722698684964
race_no,4,3481,0.48922723355357656,0.6954898017810974,0.8385521401896007,0.20626256822752081,0.1430623384085033
race_no,5,3490,0.5449856733524355,0.7229226361031519,0.8538681948424068,0.17793696275071633,0.130945558739255
race_no,6,3467,0.5125468704932218,0.7184886068647246,0.8534756273435247,0.20594173637150273,0.13498702047880012
race_no,7,3457,0.5267573040208273,0.735898177610645,0.8623083598495805,0.20914087358981776,0.1264101822389355
race_no,8,3445,0.5338171262699565,0.7506531204644412,0.8629898403483309,0.21683599419448477,0.1123367198838897
race_no,9,3434,0.5675596971461853,0.754513686662784,0.861094933022714,0.18695398951659872,0.1065812463599301
race_no,10,3439,0.6068624600174469,0.7787147426577493,0.8764175632451294,0.17185228264030242,0.09770282058738006
race_no,11,3431,0.6846400466336345,0.8064704167881084,0.8941999417079569,0.12183037015447391,0.08772952491984844
race_no,12,3401,0.7139076742134667,0.8144663334313437,0.8953249044398707,0.1005586592178771,0.0808585710085269
month,2025-08,275,0.5490909090909091,0.7672727272727272,0.88,0.21818181818181817,0.11272727272727273
month,2025-09,3625,0.5384827586206896,0.7244137931034482,0.8518620689655172,0.18593103448275863,0.12744827586206897
month,2025-10,3538,0.5404183154324477,0.7297908422837761,0.856416054267948,0.18937252685132844,0.12662521198417184
month,2025-11,3340,0.5694610778443113,0.7458083832335329,0.8535928143712574,0.17634730538922155,0.10778443113772455
month,2025-12,4008,0.5598802395209581,0.7402694610778443,0.8645209580838323,0.18038922155688622,0.12425149700598802
month,2026-01,4356,0.5663452708907254,0.741505968778696,0.860651974288338,0.17516069788797062,0.11914600550964187
month,2026-02,3545,0.5588152327221438,0.7458392101551481,0.8614950634696756,0.18702397743300422,0.1156558533145275
month,2026-03,3811,0.5615324061926004,0.7467856205720284,0.8562057202833901,0.18525321437942796,0.10942009971136185
